신살,기본내용,조건(남),조건(여),조건(기타)
괴강(魁罡),\n▷ 괴(魁 ‘으뜸 괴’) 강(罡 ‘북두성 강’) 북두칠성의 머리 부분 네 개 \n▷ 괴강살은 전생에 못된 짓을 많이 했던 남자가 여자로 환생한 살로서 남성화된 여성을 의미한다는 속설 \n▷ 자기주장 우두머리_별 카리스마 리더십 독립심 명예중시 극단적 아집 다변강경(多辯强硬) 진취적 권력지향 과단성. 분위기 압도. 굴곡. 남성은 학술과 화술에 재능. 강직 정직 당당 청렴결백 고집 \n▷ 배우자도 같은 괴강이 동주하면 의기투합하여 해로 \n▷ 무진(戊辰) 무술(戊戌) 경진(庚辰) 경술(庚戌) 임진(壬辰) 임술(壬戌) 간지가 일주기준 2개 이상은 강함. 갑진(甲辰) 갑술(甲戌) 병진(丙辰) 병술(丙戌)일주도 괴강의 기운이 있음 \n▷ 진(辰)은 땅을 상징하는 수(水)의 고지로서 하괴(下魁)이자 지망(地網)이 되며. 술(戌)은 하늘을 상징하는 화(火)의 고지로서 상괴(上魁)의 천강천(天罡川)이자 라망(羅網)이 되어 상쟁의 의미가 강함 \n▷ 진술(辰戌)은 지지 중에서 가장 기가 세며 상호 투쟁(음양의 전 단계 문) \n▷ 일주의 괴강이 온전하면 부귀권세를 누림(특히 군검경 및 교육분야) \n▷ 일주의 괴강이 불안정하면 성정이 표독하고 박복,,\n▷ 여명의 괴강은 전문직에서 능력 발휘하는 경우가 많아 남편보다 집안의 중심역할을 하는 가주(家主)가 많음. 아울러 여명의 괴강은 미인이 많은 편 \n▷ 여명괴강은 본인이 남녀공학 원하며 군경 또는 운동선수 등의 활발한 업상을 좋아하며. 교육 및 생살여탈 직업군과 인연할 가능성 큼,\n
교신(交神),\n▷ 일주가 병오(丙午) 병자(丙子) 신묘(辛卯) 신유(辛酉) 일생 \n▷ 퇴신(退身)과 복신(伏神) 전에 오는 신살로서 불확실한 미래에 대한 불안감으로 상황을 살핀다는 의미가 강해 기회주의적 성향 \n▷ 사시적(斜視的)이며 개성이 강하고 마이웨이(my way) 유형으로 주위에 개의치 않고 자기 뜻대로 하려는 성향 \n▷ 속내를 알 수 없고 자신이 좋아하는 것에만 관심이 있기 때문에 대중적 화합을 기대하기 곤란 ​\n▷ 배타성이 강하여 홀로 지내는 경우가 많고. 동업하면 필패 ​\n▷ 교신(交神) 퇴신(退身) 복신(伏神)은 음양차착살과 동일,,\n▷ 여성의 경우 순수성은 돋보이나 이간질과 의타심이 강함,\n
구추방해(九醜妨害),\n▷ 구추살과 방해살로 분류하나 일주가 같아 함께 사용 ​\n▷ 이성관계가 복잡하게 얽히기 쉽고. 대체로 잘못된 만남으로 ​문제를 야기하여 악연이 됨 \n▷ 신체 병약으로 수술수 및 크고 작은 사고로 굴곡 많은 삶 \n▷ 일간이 신왕하고 청기하면 난관을 극복하고 발복함 \n▷ 일주를 기준으로 적용하지만. 시주에 있을 경우에는 본인의 말년 또는 자식에게도 비슷한 작용이 발생 ​\n▷ 을묘(乙卯) 을유(乙酉) 무오(戊午) 무자(戊子) 기묘(己卯) 기유(己酉) 신묘(辛卯) 신유(辛酉) 임오(壬午) 임자(壬子)일주,,,\n
귀문(鬼門),\n▷ “귀신이 문으로 들어와 빗장을 잠근다”는 의미 \n▷ 빙의(憑依)현상 또는 무병(巫病)과 같은 정신질환의 일종으로 의학적 용어로는 공황장애(恐慌障碍)라고 함. 과거의 기억에 집착하여 부부싸움도 같은 패턴으로 반복 \n▷ 귀문관살이 있는 사람은 기억력의 달인으로 과거회상을 잘함 ​\n▷ 의견 불일치하면 상대방을 원망. 불평. 집요한 잔소리 \n▷ 진해(辰亥) 자유(子酉) 미인(未寅) 오죽(午丑) 신묘(申卯) 사술(巳戌)이 일지기준으로 연월시지에 있으면 강하게 작용 ​\n▷ 정신적 편향성으로 편집증적 기질. 일반인과 달리 명석하고 천재적 기질. 외부의 평판에 신경 쓰며 의도적으로 행동하면서 그 자체의 스트레스를 폭력적으로 풀려는 속성 ​\n▷ 영혼이 맑아 꿈으로 보는 예지력이 특출. 의처 의부증의 부정망상(不貞妄想)이 많고. 집요하고 광적(狂的) 기운이 태강하여 순간폭발을 잘하며 가끔 신들린 것처럼 행동 ​\n▷ 비범한 재능이 있어 문학과 예기 방면으로 가면 대성 ​\n▷ 변태성 히스테리성 발작 인격파탄증후군 정신이상증후 공주병 동어반복(同語反覆) 플라토닉러브 추구 등 ​\n▷ 비이성적 행동의 반복과 변덕이 심해 일관성 유지가 곤란 ​\n▷ 상대의 나쁜감정을 뇌리에 저장했다 귀가후 배우자 등에 폭력성 스트레스 해소. 감정기복의 롤러코스트 파동 ​\n▷ 귀문관살 부부는 신뢰를 바탕으로 인내심과 기다림이 묘약. 종교적 측면의 해결방법은 역효과 ​\n▷ 귀문은 주로 신약사주에 해당하며 오히려 신강사주의 귀문은 창의력과 영감을 불러일으키는 좋은 작용을 함,,\n▷ 여명의 경우 관성 운에서 귀문관살이 되면 부부별리 ​\n▷ 귀문관살의 여명은 남편의 행동을 기록하는 습관이 있음 \n▷ 여명의 신약명에 귀문의 관살혼잡은 주눅이 들어 기를 펴지 못함,\n▷ 특히 일지와 시지의 귀문이 남명은 재성이거나 여명은 관성일 경우 배우자가 변태적 성향이 있으며 배우자가 성불감증인 경우가 많음 \n▷ 남명의 귀문관살이 재성이 되거나. 여명의 귀문관살이 관성이면 배우자의 정신 횡포가 심함 ​\n▷ 귀문관살이 화개살과 동주하면 종교인 직업적성 ​\n▷ 인성이 혼잡되고 충형해파가 겹치면 신병(神病) 증세\n
금신(金神),\n▷ 을축(乙丑) 기사(己巳) 계유(癸酉)가 일주나 시주에 있을 때(巳酉丑 金局의 기운이 강함. 전부 甲子旬中 戌亥공망) \n▷ 총명강직하고 생활력이 강하여 어떤 환경에서도 굴하지 않고 역경을 헤쳐 나가는 유형으로. 목표 달성위해 초지일관(初志一貫)의 저력으로 종래 성취하는 인내력의 달인,,,\n▷ 월지 또는 시간이 화(火) 오행이 되거나. 또는 행운에서 화(火)운을 만나면 발복 \n▷ 특히 일시(日時)에 동주하면 군검경의 직무에서 능력 발휘하지만. 일지의 축(丑) 그룹은 칼(刀)을 다루는 직업군에서 대성 \n▷ 금신이 행운에서 충형해파 당하면 골절 및 수술수를 조심\n
금여(金與),\n▷ 임금의 어가(御駕) 및 귀족이 타던 금수레로 부귀공명의 길성. 또는 시집갈 때 타는 꽃가마의 의미로서 꽃가마살 이라고도 하며 금여록(金與祿)이라고도 함 \n▷ 갑진(甲辰) 을사(乙巳) 경술(庚戌) 신해(辛亥)일주 \n▷ 금여록 사주는 결혼운이 좋고. 각계에서 성공한 남자와 명문가 며느리에게 많음. 성공한 가문으로 재복이 많음 \n▷ 남녀 모두 용모에 귀티가 나며 배우자의 인덕이 있어 해로 ​\n▷ 일지나 시지에 있을 때 금여록의 기운이 강해짐 \n▷ 일간을 기준으로 여타 지지와 비교판단 ​\n▷ 일간 건록의 세 번째 지지(십이운성의 양간쇠지.음간욕지),\n▷ 남자의 경우 끊고 맺음이 분명한 보수적 성향. 미모의 착한 처와 인연하지만 아내가 고집이 있음 ​\n▷ 남명 금여는 미인들과 연애 및 인연 있고. 이별할 때 음독 및 자해는 물론 관재 등의 시끄러운 결별을 암시,,\n▷ 다만 행운에서 충형해파하거나 각각의 사주에서 귀문관살이 작용하면 금여의 부정심리가 발동하여 해로 불가\n
급각(急脚),\n▷ 월지를 기준으로 주중에 두 개의 지지가 중첩되면 작용함 \n▷ 인과응보설로 전생에 타인의 신체에 해를 끼친 업보의 살 ​\n▷ 사주에 급각살이 있으면 관절과 골격에 이상이 올 수 있으며. 특히 다리의 기능이 불편하게 되어 소아마비 반신불수 낙상(落傷) 신경통 신체기형 등의 질병에 취약 \n▷ 사주에 급각살이 있으면 골다공증 중풍 치아손상 견통 다리경련 등의 질환에 취약하므로 무리한 운동은 금물 \n▷ 행운에서 충형하면 급각살의 흉의가 배가되어 손상이 심함 \n▷ 시주의 급각살이 자식성에 해당할 경우 장애인이 될 가능성. 여타의 시주 십성은 뇌졸중 및 중풍 등의 뇌손상을 주의,,\n▷ 여명의 급각살은 산액과 생리통을 암시,\n▷ 해당 급각살에 십성 육친에 따라 부정심리 발생 ​ - 관성 또는 식상의 급각살은 자식에게 흉해가 미치며  - 재성 급각살은 배우자에게 부인병 및 산액의 흉살 ​\n▷ 일지 및 시주의 급각살은 아랫사람에게 하극상을 당할 수 있음 ​\n▷ 급각살이 없는 사주도 연운에서 급각살을 보면 흉화가 미침 ​\n▷ 목(木) 또는 수(水)가 태과한 사주도 풍한(風寒)이 많아 목수(木水)가 동결된 사주가 되어 급각 작용이 심함 \n▷ 미술축(未.戌.丑)월은 삼형의 달로서 그 자체만으로 급각의 흉살 작용함\n
낙정관(落井關),\n▷ 익사지환(溺死之患)의 익수살(溺水殺) \n▷ 수재(水災)에 의한 흉액 및 떨어져 다친다는 흉살. 그러나 과욕이 있으면 모략과 구설로 관재수가 있을것을 암시 ​\n▷ 주의력 결핍으로 낙상(落傷)과 타박(打撲)에 의해 쉽게 다치고 멍이 들므로 어린이는 아주 조심 \n▷ 특히 물로 인한 사고에 취약하므로 익수지환(溺水之患)은 물론 직업 선택에 있어서도 물(水)관련 사업은 지양 \n▷ 해당 일간의 사주가 낙정관의 일진을 만나도 잘 부딪치거나 넘어지는 사고수가 빈발 ​\n▷ 일간을 기준으로 시지 또는 행운을 대조하여 간명,,,\n▷ 낙정관의 행운에는 모함과 사기수가 있으므로 계약은 금물 \n▷ 낙정관의 천간이 재성 또는 관성일 경우 재물 또는 직업관련 일들에 흉화가 있음을 암시. 가령 무토(戊土) 일간이 시주 또는 행운에 서 묘(卯)를 보면 재관의 흉화를 암시\n
남연(男戀),,\n▷ 남명의 갑인(甲寅). 갑신(甲申). 정축(丁丑). 무신(戊申). 기축(己丑). 신미(辛未). 임인(壬寅). 계미(癸未)일주 \n▷ 대체로 일지(지장간)에 편재를 두는 경우로서 배우자 몰래 애인을 숨겨둔다는 의미,,\n▷ 일반적으로 아내 몰래 작첩(作妾)한다는 의미로 사용되고 있으나 그대로 적용하면 곤란. 다만 합(合)의 기운이 강한 가운데 도화살이 왕한 여명을 만나면 남연살 작용 \n▷ 특히 사주에 도화살이 왕한 여명이 남연살의 남명과 만나면 이성의 부정심리가 발동하여 대부분 해로불가의 흉운\n
뇌공관(雷公關),\n▷ 타뇌관살(打雷關殺) \n▷ 해당 일주는 벼락 전기감전 화재 연탄가스 교통사고 폭발사고 등의 사고수에 취약 ​\n▷ 병자(丙子) 무술(戊戌) 경인(庚寅) 계해(癸亥)일주 등 \n▷ 해당 일주는 관련 업무 및 직종 선택은 불리 \n▷ 각종 사고에 취약하므로 생명보험 및 상해보험 가입 필수,,,\n
단교관(斷橋關),\n▷ 월지를 기준하여 일지와 시지를 비교하여 정함 \n▷ 전생에 타인을 다치게 만든 사람이 업(業)을 씻기 위해 받는 고통 ​\n▷ 각종 사고수에 취약하며 특히 팔다리를 쉽게 다치고. 자칫 불구가 될수있는 살로서 급각살(急脚殺)과 비슷한 증상 ​\n▷ 특히 부잡스런 유년기에 조심해야 하지만. 어른의 경우에도 평상시에 팔다리에 경련성 쥐가 자주 나거나 잘 부딪치고 멍이 들게 됨 \n▷ 단교관살이 있는 사람은 대체로 타인을 모함하거나 거짓말을 잘하고. 뻔뻔한 행동을 태연하게 하는 습성이 있음 \n▷ 단교관 운에는 낙상 및 골절사고를 비롯하여 어깨 결림. 두통 혈압 중풍 등에 특히 주의해야 함,,\n▷ 단교관이 작용하면 신경이 예민해지므로 임산부의 경우는 기형아를 출산할 수도 있기 때문에 주의가 요망됨,\n
단장관(斷腸關),\n▷ 갑오(甲午) 을미(乙未) 병진(丙辰) 정사(丁巳) 기묘(己卯) 경인(庚寅) 계축(癸丑)일주 해당 \n▷ 대장(大腸)이나 소장(小腸) 등의 장 질환으로 수술 및 병적 증세에 취약 \n▷ 주로 단장관 일주의 경우 용신이 행운에서 합(合)으로 묶일 때 합화오행의 질병으로 수술수 따름 ​\n▷ 단장관 일주를 포함하여 여타의 일주에 있어서도 천간 또는 지지의 용신이 행운에서 합(合)으로 묶일 때 합화오행의 육친에 생리사별에 따른 이별의 수가 들게 됨,,,\n
대장군방위(大將軍方位),\n▷ 이전과 이사. 건축물 또는 축조물의 증·개축과 개·보수와 관련하여 해당하는 방위의 창업을 금하는 흉살 \n▷ 방합을 기준으로 간명. 방국(方局)의 기운을 생해주는 방향 또는 방합사고의 고장지가 대장군 방위,,,\n
도화(桃花),\n▷ 목욕살(沐浴殺) 함지살(咸池殺) 연살(年殺) 패살(敗殺) \n▷ 지지의 자오묘유(子午卯酉). 천간의 임임(壬壬) 또는 계계(癸癸)가 동주할 때 작용 \n▷ 예전엔 폄하. 지금은 대인관계 인기인 미남 미녀 사교적  \n▷ 순수 담백 연예인은 기본적으로 도화살이 있음 \n▷ 지지에 도화살이 없어도 운에서 오면 도화의 작용 강함 ​\n▷ 도화는 일간기준과 연지.일지기준의 두 가지 관점 \n▷ 일간기준 도화살은 12운성의 욕패(浴敗)에 해당 ​\n▷ 금한수냉(金寒水冷) 사주는 불감증 및 결벽증 기운이 있어 도화운의 작용이 미약함 ​\n▷ 연주와 월주는 장내.원내(牆內.院內)도화로서 부부상애(夫婦相愛). ​\n▷ 일주와 시주는 장외.원외(牆外.院外)도화로서 대외적으로 인기맨,\n▷ 남명의 도화살은 반항심 강하고 원망을 잘하는편. 특히 남명의 생일도화는 본처와 해로난망이고 여난으로 손재수,,\n▷ 인성(印星)도화는 연배 및 부모님같은 사람에게 연정 \n▷ 도화살이 충파(沖破)될때 도화의 기운이 부정심리로 작용 ​\n▷ 사주에 정관과 정인이 도화살과 동주하면 절제력 발동으로 도화의 긍정심리가 작용 \n▷ 도화가 식상과 동주하면 문학과 기예 또는 예술과 방송. 연예 방면에서 두각 \n▷ 도화가 편관과 동주하면 도화의 부정심리 발동 ​\n▷ 정관이 도화이면 반복 물상으로 칸트증후군. 공직자명 ​​\n▷ 년지도화-남명은 연상녀. 여명은 연하남 관심. 도삽도화(倒揷挑花)     월지도화-정상 인연에 관심 장내도화(牆內挑花)     일지도화-의처 의부증. 늦바람. 장외도화(牆外挑花)     시지도화-연하를 좋아하는 경향. 편야도화(遍夜挑花) ​\n▷ 곤랑(滾浪).나체(裸體).도삽(倒揷).편야(遍野).칠살(七殺)도화 분류 1) 곤랑(滾浪)도화는 간합지형(干合支刑)으로 천간이 상합되고 지지에 형(刑)과 도화가 상존한 경우. 병자(丙子)일주가 신묘(辛卯)시 또는 신묘(辛卯)일주가 병자(丙子)시를 볼 때와. 갑자(甲子)일주가 기묘(己卯)시 또는 기묘(己卯)일주가 갑자(甲子) 시를 볼 때이다. 이처럼 천간의 합과 지지의 도화형(刑)이 동주하면 동성애 등 색정의 극치로 부정심리 2) 나체(裸體)도화는 갑자(甲子).을사(乙巳).정묘(丁卯).경오(庚午).신해(辛亥).계유(癸酉)일주가 주중에 도화를보면 벌거 벗고 놀정도로 한량기를 보임. 두뇌회전이 빠르고 적극적인 일처리를 하는 특징이외에도 다분히 호색적 기질이 있음 3) 도삽(倒揷)도화는 ‘꽃을 거꾸로 꽂다’는 의미로서 연지(年支)가 도화일 때를 말하며. 남명은 연상녀. 여명은 연하남과 비정상적 인연에 관심을 갖는 유형 4) 편야(遍野)도화(=月下桃花)는 사주의 지지가 모두 자오묘유(子午卯酉)의 왕지로 구성되어 주색황음(酒色荒淫)의 의미가 있으며. 행운에서 만나도 음탕한 기질이 대두되고. 특히 시지가 도화인 경우를 편야도화라고도 하며 유흥업소 근무나 유랑(幼郞)과 인연 5) 칠살(七殺)도화는 을유(乙酉). 기묘(己卯)일주처럼 음간의 칠살도화는 칠살의 살기를 살인상생(殺印相生)으로 화살위권(化殺爲權)하거나. 식상제살(食傷制殺)로 제살제복(制殺制覆)해야 무난한 삶을 영위할 수 있는데. 자칫 바람기 있고 포악한 남편 때문에 고통 받거나 일찍 성폭력 등의 흉화를 암시하므로 조심해야 함\n
문곡귀인(文曲貴人),\n▷ 순수학문이 아닌 예술분야의 학문에서 두각을 나타내는 길성 \n▷ 이론을 이미지로 구체화하는데 발군으로 문학적 영감이 발달 \n▷ 예능 및 창조적 기예와 학문적 창의력 우수 \n▷ 일간을 기준으로 지지가 편인일 때 문곡귀인에 해당. 그러나 토금(土金)일간은 지지가 편관일 때 문곡귀인에 해당 ​\n▷ 문곡이 있으면 학문에 흥미가 많고 예술적 기예 또한 발전하여 창의적 재능을 유감없이 발휘 ​\n▷ 문곡이 있으면 다독(多讀)하며 학자 문학가 예술인 등의 교육적 직업적성 ​\n▷ 문창귀인의 충지(冲支)이며. 문창귀인과 함께 학계와 인연 ​\n▷ 학당귀인=양음간 모두 장생. 문곡귀인=양간장생. 음간병지. 문창귀인=양간병지. 음간장생.,,,\n▷ 문곡이 충형해파 또는 관살혼잡되면 길성의 기운이 감소\n
문창귀인(文昌貴人),\n▷ 북두칠성의 첫 번째 별로서 문창성(文昌星)이라고 함 \n▷ 지혜 총명하고 영민하여 순수학문에 관심 많고 기량이 출중함 \n▷ 논리적이고 이론적 학문에 능함. 향학열 뛰어남 \n▷ 수용성이 강하여 학문적 능력이 뛰어나지만 개인주의 성향 \n▷ 사주에 인성이 발달하면 예술방면에 출중한 능력발휘 \n▷ 문창귀인이 화개살과 동주하면 저술 및 사회사업에 성공 \n▷ 주중의 문창귀인은 해당 시기에 문학적 재능이 표출됨 \n▷ 일간을 기준으로 지지와 지장간의 식신(食神)과 연계 ​\n▷ 학당귀인=양음간 모두 장생. 문곡귀인=양간장생. 음간병지. 문창귀인=양간병지. 음간장생.,,,​\n▷ 문창귀인이 충형해파. 공망이 되면 학문의 중도좌절과 결과 부실로 신경과민과 정신질환 증세\n
반음(反吟),\n▷ 복음살(伏吟殺)과 더불어 흉살에 해당 ​\n▷ 반음(反吟)은 일주와 천충지충하는 원국 및 행운이다. 가령 갑오(甲午)일주가 경자(庚子) 운에 놓여있을 때를 반음이라고 한다. \n▷ 음(吟)의 어의가 ‘끙끙 앓다’는 뜻으로. 반음(反吟)은 ‘속앓이’ 해야 할 일로 신음하는 형상이다. 행운에서 도래하면 육친과의 흉화를 면하기 어렵다. ​\n▷ 반음(反吟)의 설기(洩氣)가 심하면 잔소리 및 잘삐짐으로 변덕스러운 성격. 다소 멍해지는 정신적 이완현상을 경험,,,\n
