오행,목,화,토,금,수
심리,① 뻗어나가려는 성정. 솔직. 담백. 꿈과 희망의 화신</br>② 환경 적응력. 리더십의 표상. 인기몰이. 호기심</br>③ 매사를 긍정적으로 관조. 천진난만. 단순함. 낙관적</br>④ 자기과시욕 강함. 이성과 재물에 집착하는 경향</br>⑤ 좌절하거나 실패하면 회복이 쉽지 않고 우울증</br>⑥ 현실과 타협. 꼼수 및 잔머리 굴림. 유시무종(有始無終)</br>⑦ 인내와 억압에 따른 반발심리가 강하게 작용. 독단적,① 미래 지향적. 진취적. 열정적. 감정변화. 욱하는 성질</br>② 사리분별이 분명. 희생과 봉사정신. 모성애적 기질</br>③ 화술. 뒤끝 없음. 호불호 분명. 자기주장 분명. 배려. 동정심</br>④ 여리고 부드러운 감성의 소유자. 개성 강함. 나(我) 개념</br>⑤ 존재감을 확인하기 위해 외형에 관심 많음. 지금에 관심</br>⑥ 감정적. 자기주장이 강함. 다혈질. 즉흥적. 충동적. 분주</br>⑦ 격한 감정으로 말더듬이 증상에 취약,① 자기중심이 강. 속내를 알 수 없고 좀처럼 내색 않음</br>② 싫은 것은 절대 안 하며 마음에 들어야 반응. 까다로움</br>③ 인내력. 남을 배려하는 성격. 의리를 남발하는 경향</br>④ 현실적. 실리적. 보수적. 고전적 성정. 고지식. 무뚝뚝</br>⑤ 안정과 평화를 중시. 진득함. 지구력. 스트레스에 강</br>⑥ 일단 사귀면 오래가나 조건적 만남이 되기 쉬움</br>⑦ 융통성이 결여. 소심. 자신을 책망하고 후회를 잘함</br>⑧ 주관이 약하고 부화뇌동. 사람을 은근히 평가하며 사귐,① 순수. 의리파. 비계산적. 정확. 원칙. 결단성. 실행력</br>② 체제유지. 보수성. 순수하고 따뜻함. 인정. 약속준수</br>③ 소유의 구분이 명확함. 꼼꼼. 기억력. 구조적 언어</br>④ 무모한 계획으로 만용. 외골수 기질이 있어 아집. 고집</br>⑤ 한 번 절연하면 뒤도 안돌아봄. 스트레스 자초</br>⑥ 후회를 잘하고 남을 책망하려는 심리가 팽배</br>⑦ 명분이 없으면 나서지 않고. 불리하면 바로 포기</br>⑧ 비가정적인 사람. 융통성과 순발력이 부족</br>⑨ 기억력 좋아 마음속 깊이 원한과 원망을 묻어둠,① 상황판단. 심사숙고. 분위기에 휘둘리지 않고 느긋함</br>② 자신이 정한 기준을 추구. 지혜로워 실수를 최소화</br>③ 칭찬에 관심 없음. 속내를 감춤. 상황 예의주시</br>④ 기획력. 추진력. 만물박사. 경쟁력. 순리적. 물길(法)</br>⑤ 능굴능신(能屈能伸). 처세의 달인. 발상의 자유로움</br>⑥ 점잖고 조숙. 융통성. 포용력. 순발력. 유연성</br>⑦ 상대를 구분하여 처신. 이중성. 권위 무시. 야당 성향</br>⑧ 사색에 잠겨 있는 고뇌의 형상
동기부여 방법,① 결과를 채근하지 말아야 함</br>② 자존심이 상하는 언행을 삼가고 칭찬</br>③ 일에 따른 우선순위를 정하여 순차적 진행 요망</br>④ 하고자 하는 욕망을 제지하지 말고 밀어줄 것</br>⑤ 중도에서 포기하더라도 용기를 줄 것</br>⑥ 작은 성과에도 크게 감동해줄 것,① 대화 중 절대로 그들의 말을 끊지 말 것</br>② 결과 못지않게 일의 과정을 중요시 여길 것</br>③ 감정반응에 즉자적으로 나서지 말 것</br>④ 격한 감정과 언행에도 이성적으로 대처하고 참아줄 것</br>⑤ 우월적 자세를 지양하고 겸손하게 대하기</br>⑥ 일단 들어주고 자신의 의견을 짧게 전달하기</br>⑦ 일의 결과와 대화 도중에 분위기에 동조하며 칭찬할 것</br>⑧ 작은 일도 인정해주고 격려해줄 것,① 허점을 보이지 말고 신의를 지킬 것</br>② 절대 서두르지 말고 차근차근 접근할 것</br>③ 실리를 취하기보다 공생의 관계 설정이 필요</br>④ 속내와 다를 수 있으므로 숨은 뜻을 잘 파악해야 함</br>⑤ 표현이 서툴러도 원하는 바를 다 챙김으로 주의</br>⑥ 감정적으로 틀어지면 사방에 소문내므로 주의</br>⑦ 상황을 예의주시하며 행동함으로 책임 한계가 모호,① 취중에 한 말이라도 반드시 약속을 지켜야 함</br>② 실수를 용납하지 않으므로 절대 허점을 보이지 말 것</br>③ 무시하거나 자존심이 상하면 반드시 복수하므로 주의</br>④ 칭찬을 해주면 간. 쓸개 다 줄 것처럼 관용을 베푸는 기질</br>⑤ 채근하면 하던 일도 멈추므로 과정과 결과를 존중해야</br>⑥ 은근히 비교 우위에 서고자 하므로 좋은 점을 부각해야</br>⑦ 남성다운 사람을 신뢰하므로 통 큰 사람으로 보일 것</br>⑧ 기억력에 강하므로 필요 이상의 말은 금물</br>⑨ 감정은 절대 금물. 감성적으로 접근해야,① 앞에서 자랑하지 말 것. 훗날 이용당할 수도 있음</br>② 명확한 목표(guide-line)를 제시하고 의견을 교환해야 함</br>③ 가치관과 정당성을 부각하여 마음을 움직일 것</br>④ 허접한 모습을 보이면 바로 무시당함. 언행일치가 필요</br>⑤ 명분이 없으면 나서지 않으므로 환경 조성이 필요</br>⑥ 주관적 성향이 강하므로 일처리를 종용하지 말 것</br>⑦ 이익 공유제에 관심이 없으므로 사전 조건 제시가 중요
의미(意味),나무,불,흙,금석,물
오색(五色),청(靑),적(赤),황(黃),백(白),흑(黑)
인자(因子),본능인자,감성인자,수렴인자,자율인자,사고인자
일일(一日),오전,한낮,접목시각,오후,저녁
오규(五竅),눈(目),혀(舌),입(口),코(鼻),귀(耳)
오장(五臟),간,심장,비장,폐,신장
육부(六腑),담,소장,위,대장,방광
오체(五體),신경계통,순환계통,근육계통,골격계통,혈액계통
오상(五常),인(仁),예(禮),신(信),의(義),지(智)
오미(五味),신맛(酸),쓴맛(苦),단맛(甘),매운맛(辛),짠맛(鹹)
오취(五臭),누린내,탄내,단내,비린내,썩은내
오성(五聲),어금닛소리,혓소리,목구멍소리,잇소리,입술소리
오기(五氣),바람(風),더위(熱),습기(濕),건조(燥),추위(寒)
오음(五音),각(角),치(徵),궁(宮),상(商),우(羽)
오지(五志),노(怒),희(喜),사(思),우(憂),공(恐)
오곡(五穀),보리,기장,조,쌀,콩
선천수,3•8,7•2,5•10,9•4,1•6
후천수,1•2,3•4,5•6,7•8,9•10
발음(發音),ㄱㅋ,ㄴㄷㄹㅌ,ㅇㅎ,ㅅㅈㅊ,ㅁㅂㅍ
지역(地域),강원지역,영남지역,중부지역,호남지역,서울 경기
오문(五門),興仁之門,崇禮門,普信閣,敦義門,肅靖門
오신(五神),청룡(靑龍),주작(朱雀),기린(麒麟),백호(白虎),현무(玄武)
강생,•수다목표(水多木漂): 물이 강하면 나무는 뜬다.,•목다화식(木多火熄): 나무가 강하면 불은 꺼진다.,•화다토조(火多土燥): 불이 강하면 흙은 메마른다.,•토다금매(土多金埋): 흙이 강하면 쇠는 묻힌다.,•금다수탁(金多水濁): 쇠가 강하면 물이 흐려진다.
약생,•목다수축(木多水縮): 나무가 강하면 물은 없어진다.,•화다목분(火多木焚): 불이 강하면 나무는 소진된다.,•토다화식(土多火熄): 흙이 강하면 불은 꺼져버린다.,•금다토박(金多土薄): 쇠가 강하면 흙은 얇아진다.,•수다금함(水多金陷): 물이 강하면 쇠는 빠진다.
강극,•금다목절(金多木折): 쇠가 강하면 나무는 꺾인다.,•수다화멸(水多火滅): 물이 강하면 불은 꺼진다.,•목다토붕(木多土崩): 나무가 강하면 흙은 무너진다.,•화다금용(火多金鎔): 불이 강하면 쇠는 녹아버린다.,•토다수색(土多水塞): 흙이 강하면 물은 막힌다.
약극,•목다금둔(木多金鈍): 나무가 강하면 쇠는 무뎌진다.,•화다수고(火多水枯): 불이 강하면 물은 증발한다.,•토다목절(土多木折): 흙이 강하면 나무는 꺾인다.,•금다화소(金多火消): 쇠가 강하면 불길은 쇠해진다.,•수다토몰(水多土沒): 물이 강하면 흙은 잠겨버린다.
