일주,항목,내용,남자,여자,조건,결과,조건식
甲子,08a,욕지궁(浴地宮)으로 부부 공히 멋과 풍류를 즐기며 사치하기 쉽고. 배우자의 가풍은 대개 좋은 편이다. ,남자는 패지 (敗地)의 흉조로 직업이 일정치 않고. 주색풍파가 염려된다. 처가의 도움을 받거나 처에게 의지하는 경향이 있되 모처불화 (母妻不和)를 면키 어렵다.  ,여자는 특히 나체도화 (裸體桃花)의 작용으로 부부궁이 부실해지기  쉽다. ,여자가 팔자(八字)가 기박(奇薄)하게 흐른다면. ,자존심은 강하나 재물이 없으며. 이혼(離婚). 재가(再嫁)를 피하기 어렵게 된다. ,if (gendr === '여음' && ilj === lsts[i][0]){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
甲子,08b,,,,부궁(夫宮)에 친정이 자리하면.,대개 시가(媤家)와 불화(不和)한다. 두통(頭痛) 있다.,if (gendr === '여음' && ilj === lsts[i][0]){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
甲子,09,1. 냉철하고 문장력이 좋으며 진신(進神)의 작용으로 자신이 하고 싶은 것만 하려고 한다.,2. 남자는 어머니와 처가 불화하여 마음이 편치 않다.,3. 여자는 유산(流産)이나 낙태(落胎)를 경험하게 되며 수족냉증에 시달린다.,,,
甲子,10,,남명(男命)은 호색가로 상대를 막론하고 파트너를 즐겁게 하는 수완과 기술이 있다. 욕지(浴地)에 임하여 색난(色難)을 겪을 우려가 있다.,여명(女命)은 본능적이고 야성적인 성(性) 행위를 좋아하는 유형이다. ,남녀 공히 유시(酉時) 생이면 ,귀문(鬼門)이 들어 변태적(變態的)인 경향이 보이기 쉽다.,if (sj_tj === '酉'){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
甲子,11,甲子일주는 겨울나무의 상이라. 추위를 많이 타고 중풍. (수족)냉증. 간담(肝膽) 등의 질병을 조심해야 합니다.  ,,여자의 경우 특히 자연유산이나 산후풍(産後風)을 조심해야 한다.,,,
甲子,12,인성(印星)과 장성(將星)의 조화는 군경. 예능계. 교육계. 언론계. 정계로 진출하는 경우가 많고.  사업 분야는 섬유업. 목재업. 유흥업. 문화기획. 첨단기술 계통에 적합하다. ,,여성은 간호사. 약사 등에서도 종종 보고. 예능 교사나 교육계에서 활동하는 이들이 많다.,,,
甲子,13,◈ 일주론 해석 - 갑자 (甲子)일주 </br></br>갑자일생은 인수 욕지로 먼저 모친궁의 동태가 주가 됩니다. 이 사람의 모친이 생존하고 있다면. 필시 가족과의 불화 요인이 됩니다. 어머니가 배우자궁에 있으니 같이 산다는 뜻과 같은데 포태좌법으로 임수 인수는 왕지에 속합니다. 이때 처가 되는 병화는 자수에서 태지가 되므로 재살은 장성을 치게 되지요. </br>갑자는 나무와 물의 관계입니다. 물이 차가우면 나무를 잘 생육할 수가 없습니다. ,남자는 처와 어머니의 불화로 마음고생을 하게 됩니다. ,여자의 경우 재는 시모가 됩니다. 그래서 친정과 시모의 관계가 좋지 않습니다. ,여명은 팔자에 신이나 자. 축 등이 겹치면. ,출산이 어렵고 수족이 차가우며 자궁에 병이 납니다. ,if (gendr === '여음' && ilj === lsts[i][0]){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
甲子,13a,또 갑자는 일주의 도화로 나체도화에 속합니다. ,,,물이 차가우면 ,보통 갑자일생은 하격이 되는데 남자는 건달 백수요. 여자는 화류유곽에 팔리는 신세로 전락할 때가 있습니다. 그러니까 물이 따뜻해야 하는데 이것을 학술적 용어로는 청하다고 표현합니다. ,if (ilj === lsts[i][0]){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
甲子,13b,간단히 말해 어머니나 배우자 문제로 고충을 겪는다고 말하면 십중팔구 통합니다.,,,인목이나 병화를 봐야만 ,갑자일생은  인목이나 병화를 봐야만  격이 우수해집니다. 격이 뛰어나면 교육자로 대성하게 됩니다. ,if (sj_ganji.includes('寅') || sj_ganji.includes('丙')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
乙丑,01,명랑과 침착성을 가지고 대응하는 힘이 있으니 삶에 성공을 가져다 줄 수 있는 원만한 성품의 소유자로 재물에 대한 관심도 있고 세속적인 성공도 기약하는 행동 습성을 가지고 살아가는 사람입니다.  적극성에 있어서는 부족한 점이 흠이라 할 수 있습니다.  세상일에는 적극적인데. 표현의 방식에 있어서 수동적이고 은근한 방식입니다.  자기를 잘 표현하지 않는 성향으로. 욕망이나 욕구의 표현 방식이 수동적이고. 적극적이지 못하면서도 성공의 노력을 게을리 하지 않는 체질이라 타인으로부터 오해를 받는 수가 종종 있습니다. ,,,,,
乙丑,02,대체로 부친의 기운이 강한 운에 모친의 기운도 가지고 있으니 부모 모두의 인연이 길다 하겠습니다. 고로 부모와 잘 화합하는 성품에 뜻을 져 버리지 않으며. 어른의 뜻에 잘 따르는 편입니다. 남녀 공히 배우자 인연 원만한 편에 속하며 자식운 역시 순탄한 편입니다. ,남자의 경우 배필 인연이 원만하고 경제력있는 처를 얻는 경우가 많습니다. ,,남자 사주에 금이 강하면. ,큰 성공의 자식이 옵니다. . ,if(gendr === '남양' && nr_oh4>2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
乙丑,02a,,,,여자는 수가 거듭하여 있으면.,자식이 드물거나 건강이 부실할 수도 있습니다. (시력. 성장 부족),if (gendr === '여음' && ilj === lsts[i][0]){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
乙丑,03,공부길에 태만함이 자주 오므로 공부에 몰두하는 힘이 약할 수 있으며.  소년 학문길 게으름으로 인하여 좋은 학교 인연이 잘되지 않습니다.  ,성공의 전공길 남자는 상과. 공학. 법학. 전문 분야가 좋습니다. ,성공의 전공길 여자는 상과. 사회학. 전문 기술 분야가 좋습니다. ,사주에 화의 글자가 있으면. ,두뇌가 영리하므로 인내 노력은 부족하더라도 공부는 잘하는 운에. 학마와 방해가 따르더라도 만학으로 학위를 이루는 편입니다.  ,if(nr_oh2>0){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
乙丑,04,배필운 원만할 운에 이성 일찍 눈뜨지만 표현 방식이 수동적이라 연애가 빠르지 않을 수도 있으며.  소년 연애 있을 수 있고 결혼도 적당한 시기에 이루어지며 연애로 혼전임신 등이 올 수도 있습니다.  ,남자의 경우 좋은 배필 인연은 쥐띠. 소띠. 토끼띠. 뱀띠. 말띠. 원숭이띠 여자가 되고 </br>결혼 후 남자는 처에 순종하여 살거나 처가 득세하는 경우가 많습니다. ,여자의 경우는 쥐띠. 소띠. 토끼띠. 양띠. 원숭이띠. 닭띠. 개띠 남자가 좋은 인연이 됩니다. ,여자의 경우 팔자에 금의 글자가 거듭 있으면.,배필에 갈등을  겪기도 합니다. ,if (gendr === '여음' && ilj === lsts[i][0]){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
乙丑,05,재물에 대한 관심으로 사업 인연하는 경우가 많으나 적극성이 부족하여 늦게 인연하거나 하지 않는 경우도 많습니다. ,,,팔자에 금이 많으면. ,조직. 직장길입니다. ,if(nr_oh4>2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
乙丑,05a,조직. 직장길은 금융권. 재경직. 공직. 재무. 회계 .전문 분야(화학. 제조..) 등이 좋고 사업길은 전문 자격 사업(화학. 전기 전자. 토목 사업)이 좋습니다. 큰돈에 대한 욕심이 항상 내재되어 있어 남모르게 돈을 벌려고 하다가 (노름. 주식. 투기..) 낭패를 보는 경우도 많습니다.,,,화가 있으면.,사업성의 발달로 사업 인연하게 됩니다. ,if(nr_oh2>0){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
乙丑,06,명랑성과 침착성을 조화롭게 갖추었으니 매사에 원만한 일처리를 하며.  성공도 길게 오래 동안 이루어지는 운에 항상 고상한 것에 관심을 가지고 공부하려는 성향이 있어 종교. 철학. 심리 등에도 관심이 많습니다. ,,여자는 결혼 인연에 따라 사별. 이별 등의 고통이 오는 수 있습니다. ,,,
乙丑,07,진흙 속에서 피어난 연꽃과 같은 모습이니 목적을 향한 상당한 인내심이 있습니다. 꺽어 쓰는 글자는 곡각이라 하는데 이것은 사고나 병으로 인해 수족을 다치거나 신경통 등으로 고생하는 현상을 암시하기 때문에 자신이나 배우자의 신상에 수술수를 피하기 어려움을 암시합니다.  축에는 신금이라는 칼을 두었으니 이 사람이 검경계나 군인. 외과의사. 정육점 등의 직업과 인연을 맺을 때가 많고 소가 밭을 갈고 곡식이 나온상과 같아 초지일관하여 끝내는 부자가 되고. 출세하는 경우가 많습니다. ,,,,,
乙丑,08,2. 乙丑 (癸 9 辛3 己18)</br>衰 복성귀인(福星貴人) 곡각(曲脚)</br></br>철(鐵)의 창고라. 칠전팔기 형으로 그 집념은 최후의 수확을 낸다. 乙丑의 물상은 진흙 속에서 연꽃이 핀 형상이기 때문이다. 사업을 할 가능성이 높다. 목적을 향한 상당한 인내심이 있고. 또한 신비한 사상이나 학술에 상당히 관심이 있지만. 몰두하지는 않는다. 이는 己土 편재(偏財)가 癸水 편인(偏印)을 제어하기 때문이다. 초년보다는 중년이 좋다. 음(陰)의 속성이 강하여 강자를 만나면 고개를 숙이고 따르는 경향이 있으며 일종의 의타심(依他心)이 있는 편이다.</br>수술수가 있습니다.  ,,,水기(氣)가 부족하면. ,암(癌)에 걸릴 우려도 있다. ,if(nr_oh5<2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
乙丑,08a,곡각살(曲脚殺)은 베풀지 않으면 당한다는 암시가 있다. 곡각(曲脚)은 자신이나 배우자의 신상에 수술(手術)수를 피하기 어려움을 암시한다. 타인을 위해 봉사를 많이 해도 인덕이 없는 편이다.</br>관고(官庫)에 칼을 두었으니 외과 의사나 검경계. 군인으로 진출하면 상격이 되고. 정육점이나 갈비 집과 인연을 맺기 쉽다.</br>을목(乙木) 일주는 상부상처(喪夫喪妻)의 흉의가 생에 언젠가는 있음을 명심하고. 항시 배우자의 건강을 살펴야 한다. 만혼(晩婚)이나 초혼(初婚)의 실패자를 만나면 흉운을 면하고. 행복할 수 있다. ,,여성은 세상살이가 고통스러워 비관을 자주하며. 남편의 덕이 없다. 험한 일에 종사하게 되면 성격이 매우 독하게 변하는 수가 있다. 대체로 파란만장한 삶의 행로가 펼쳐져도 부동산으로 치부(致富)하게 되고 부자로 살 수 있다. 격(格)이 좋으면 남편이 경찰. 군인. 의사인 경우로 행복하며. 남편을 자기 의지대로 움직이는 재주가 비상하다. 그러나 대개는 남편의 덕이 없고 사별(死別)을 경험하는 수도 있다. ,午時생이면,인생 비관에 부부해로가 어렵고. 약물 중독이나 가스 등에 오염될 우려가 있다. ,if (sj_tj === '午'){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
乙丑,09,1. 소가 밭을 갈고 곡식이 나온 상이니 꾸준히 축재하여 부자소리 듣겠다.,2.  호인(好人)형 이지만 박력은 없는 편이고. 처권(妻權)이 강해 공처가이기 쉽다.,3. 여자는 자좌관고(自坐官庫)라. 이성운이나 남편의 덕이 없고 생리사별이 예상된다. ,,,
乙丑,10,,男命은 자신이 리드하기 보다는 수동적(受動的)인 성향을 나타내고 여성상위(女性上位)를 좋아하니 상대의 뜻에 맡기는 식을 선호한다.,女命은 성적 욕망이 상당히 격렬한 편으로 자발적 행위를 좋아하나. 본격적인 성감(性感)이 발견되기 전에는 무감각한 사람이 많다. ,,,
乙丑,11,乙丑일주는 간(肝). 중풍. 냉증 등의 질병을 조심해야 하며 특히 위가 약해 위염. 위궤양으로 고생 할 수 있으며. 탕화(湯火)의 영향으로 화상. 동상 등을 조심해야한다. 곡각으로 수술수가 있으며 신경통으로 시달릴 소지가 강하다.</br>乙: 간(肝). 두발. 음모(陰毛). 손가락. 목덜미</br>丑: 위(胃). 비장(脾臟). 좌측다리 ,,,,,
乙丑,12,편인(偏印). 편관(偏官). 편재(偏財)의 내재로 금융계. 재정계. 의료계. 교육계 등으로 진출하는 경우가 많고. 사업 분야는 식품업. 토산품. 건축업. 관청관련업무 등의 계통이 적합하다. 칼과 연관 있는 직업이 많다. ,,,,,
乙丑,13,◈ 일주론 해석 - 乙丑 (을축) 일주</br></br>한마디로 을축일생은 종래 부자가 됩니다.</br>축토는 재고이기 때문에 재물을 깔고 앉아있는 상이 되는 겁니다. 굳이 물형에 비유하면 연꽃의 상입니다. 그런데 연꽃이 진흙에 피었잖습니까. 고생을 어지간히 한 겁니다.</br>어떤 곡절이 있냐. 첫째 몸이 아픕니다. 반안지에 놓였으니 재산은 모았지만 몸이 아픕니다. 또 배우자도 아픕니다. 이 사람의 재물은 기토가 화개에 자리 잡았습니다. 포태술은 봉법이 베이식이 된다고 했지요. 그렇다면 이 사람의 재는 반안이자 부차적으로 화개가 되는 겁니다. 반안은 안정된 환경을 뜻하고 화개는 순수 자력으로 모은 저축을 말합니다. 구두쇠를 암시하지요. 돈은 착실히 모읍니다.</br>끝으로 축에서는 인수 계수가 관대지에 놓입니다. 월살은 종교성이지요 그래서 이 사람은 신앙이나 오컬트(주술) 같은 신비로운 사상 세계에 관심이 있습니다. 하지만 주는 역시 재물의 축적에 관심을 두는 사람이니까 순수한 의미의 종교인이나 신앙인과는 좀 거리가 있습니다.</br>하나 더 비술이 될 만한 사안에 대하여 말해 볼까요.</br>이 사람의 아버지 산소는 필시 물찬 산소일 가능성이 높습니다. 습토에 재가 입고된 까닭이지요. 스승님의 가르침에 의하면 천하의 풍수 대가라도 이를 피해가지 못한다고 합니다. 이장을 해도 세월이 지나면 자연 물이 차게 된다는 얘긴데 풍수의 대가들 치고 자신의 아버지 묘를 두 번 이상 이장하지 않은 경우가 없다는 군요 ,,여명은 자좌관고입니다. 자좌관고란 부성이 입묘됐다는 뜻이지요. 축토는 금의 고지 아닙니까. 이렇게 입묘설을 논할 때는 음양간을 구분하지 않는 오행포태를 적용한답니다. 그러니까 남편과는 생리사별을 하지 않을 수가 없습니다.</br>그리고 신금 부성은 양지에 좌합니다. 앞에서 입묘설을 논할 때는 오행포태를 말했는데 갑자기 신금 양지의 음포태를 거론하니까 좀 헷갈릴 수도 있겠지요. 다시말해 입고설은 입고설이고. 좌법은 좌법 그대로 적용해서 남편의 신상 동태를 살피는 것입니다. 그러니까 내가 남편을 부양한다는 의미가 있습니다.</br>다른 경우로는 내 직업이나 남편의 직업이 의약업계에 종사할 때가 많습니다. ,,,
丙寅,01,만인을 기르고. 지도하는 지도적인 성품이나. 매사에 자기 중심적이고 급하게 일을 도모하는 경향이 있습니다. 고상한 것이나 전문 분야에 소질. 소양이 있으니 직업도 전문성을 뛴 직업 인연이 많으며. 수명. 건강. 장수에 속하고 만인을 기르는 분야면 인연이 맞습니다. ,,,팔자에 해. 자의 수가 있으면. ,지도자 길 인연합니다. ,if (sj_ganji.includes('亥') || sj_ganji.includes('子')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丙寅,01a,매사에 자기중심적이고 성질이 급한 편으로 급한 성질만큼 일에서도 빠른 추진력이 있고 기억력. 추리력이 탁월합니다. 남을 믿지 못하므로 자유업. 자기사업 등에 어울리는 성격입니다.,,,토. 금이 있으면,전문 직종으로 자유업 등에 인연합니다. ,if(nr_oh3>0 && nr_oh4>0){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丙寅,02,모친의 기운이 강하고. 부친의 기운이 약해져 부모중의 한 사람과 일찍 이별하게 되는 수가 많습니다. 모친의 기운이 배우자 자리에 있어 결혼 할 때까지 모친의 간섭이 따라 다니는 모양입니다. 자기중심 적인 것이 배우자와의 관계 또한 갈등. 풍파로 올수 있습니다. ,자식운 남자의 경우 아들 딸 고릅니다. ,여자의 경우 몸은 여자라도 남자에 가까운 성향을 지니고 있으며 활동력이 왕성합니다. 자식운 여자의 경우는 딸이 많습니다. ,여자는 년 월에 화. 토가 왕하면.,아들이 일찍 옵니다.,if (gendr === '여음' && ilj === lsts[i][0]){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丙寅,03,공부길 두뇌 총명으로 일찍부터 발전하는 모양이며 융통성. 눈치. 인내. 고집의 별이 되므로 비상한 실력 발휘를 하는 운입니다. 학문은 초년부터 발달하여 만년까지 실력자 운입니다.,성공의 전공길 남자는 정치 외교. 행정학. 언론 방송. 교육. 육영. 활인. 공학 등이 좋습니다. ,성공의 전공길 여자는 외교학. 인문 과학. 어학. 전문기술 등이 좋습니다. ,목이 많으면,박사까지 이룩하는 운입니다. ,if(nr_oh1>2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丙寅,04,자기 방식에 맞는 이성이 아니면 연애 관계. 결혼 관계가 잘 이루어지지 않으며. 자기 방식에 맞지 않으면 길게 인연되지 않습니다. 모친의 간섭으로 배필 갈등 있게 되고. 그로 인하여 결혼이 늦어지거나 비정상적인 결혼이 올 수도 있습니다.  ,좋은 배필 인연으로 남자는 소띠. 범띠. 말띠. 뱀띠. 닭띠. 개띠. 돼지띠의 여자가 좋습니다. </br>남자는 자기중심 적인 성향 때문에 배필에 대한 우환. 곡절. 갈등을 겪을 수도 있습니다 ,좋은 배필 인연으로 여자는 쥐띠. 범띠. 뱀띠. 말띠. 닭띠. 돼지띠 남자가 좋습니다. </br>여자는 왕성한 활동력 때문에 배필에 대한 우환. 곡절. 갈등을 겪을 수도 있습니다 ,,,
丙寅,05,일지 편인은 전문성을 의미하므로 전문 직종에 지도자 또는 자유업이 좋습니다. ,,,팔자에 亥해. 자수가 있으면. ,전문직 지도자. ,if (sj_ganji.includes('亥') || sj_ganji.includes('子')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丙寅,05a,,,,화. 토가 왕성하면. ,전문직 자유업이 좋습니다. ,if(nr_oh2>2 && nr_oh3>2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丙寅,05b,조직 직장길은 외교. 전문직. 공.사직. 교육. 육영. 전문 자격사업 등이 좋습니다.  ,,,수가 부족하면. ,사업 인연도 가능한데 금속기계. 의류. 포목. 장식. 통상업. 건축. 토목 관련 자격사업 등이 좋습니다.  일지 편인은 급속한 발전. 쇠퇴를 의미하므로 성공과 실패가 거듭 있어보는 운입니다.,if(nr_oh5<2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丙寅,06,병화는 문명 지상이라 글이 밝고. 두뇌가 총명하니 어떤 분야의 일을 하더라도 비약적인 발전. 성공을 이루어 내는 힘이 있습니다. 그러나 매사에 자기중심 적이고 성급함으로 인하여 다된 일도 성격 때문에 실패를 가져올 수 있으므로 주의를 요합니다. ,,,,,
丙寅,07,나무에 햇볕이 드는 양상 이니 진취적인 기상이 있고 목화통명하여. 학구열이 식지 않으며 명성을 얻기 쉽습니다. 이 사람은 지성이 돋보이고. 교육자로 진로를 정하면 특히 길합니다. 이 사람은 먼 곳에 스승을 두고 열심히 오가는 편입니다. 얼핏 성이 난 범 으로 비칠 만큼 명예욕이 많고 겉으로는 강한 수완가 형이지만. 안으로는 동정심이 많고 종종 침착성을 잃어 경솔한 언행으로 손해를 볼 때가 있습니다. 고혈압이나 울화병을 주의할 필요가 있습니다. ,,,,,
丙寅,08,3. 丙寅 (戊7 丙7 甲16)</br>生 학당귀인(學堂貴人) 홍염(紅艶) 효신(梟神)</br></br>초목에 양광(陽光)이 비치는 상이니 비상한 두뇌의 소유자로 독창적이며. 진취적인 기상이 있다. 목화통명(木火通明)이니 중년 이후에도 학구열이 식지 않고. 명성이 난다. 교육. 문학. 예능에도 재능이 있고. 편인(偏印). 역마(驛馬)의 영향으로 유학길에 오르기도 하며 먼 곳에 스승을 두고 오가는 경우를 종종 볼 수 있다. 주관이 강한 편이지만 타인의 호평을 받는 격이며. 문곡(文曲). 학당(學堂) 귀인은 학문이나 정신. 문화계에서의 왕성한 활동을 시사한다.</br>효신(梟神)의 성분으로 일찍 모친의 자애(慈愛)가 유실되거나 장년이 되어서도 모친으로 인한 근심걱정 끊이질 않는 경우가 많다. 추명 실전에서는 의뢰인을 일단 성난 범으로 규정하고 감정에 임하는 테크닉을 보이기도 한다. ,남성은 지혜가 출중하고 인정이 많으며 인물이 준수하다. 명예욕이 많고 겉으로는 강해도 안으로는 동정심이 많으므로 이성(異性)에게는 약한 성향을 드러내기 쉽다. 능수능란한 수완가 형이나. 때로는 침착성의 결여로 경솔한 언행이 있었다는 점을 스스로 인식하고. 후회할 때가 있다.,여성은 다정다감하고. 활동적인데 고집은 세고 욕심은 많은 편으로 다소 이기적인 유형이다. 대개 미모이거나 묘한 매력이 있어 따르는 이성이 적지 않다. 다만 기분의 변화가 심하여 타인에게 폐를 끼치는 경우가 종종 있는데. 말과 행동과 실천이 전혀 다를 때가 많으므로 신용을 지키도록 애써야 한다. ,,,
丙寅,09,1. 최고학부 출신으로 어학 분야에 소질이 있으며. 카운슬러 역할을 잘 한다.</br>2. 육친의 덕은 약한 자수성가 형이며 인덕을 베풀지만. 가까운 사람으로부터 손해를 본다.,3. 남자는 여성편력이 있어도 가정을 지킨다. ,3. 여자는 남편이 마음에 안 들어도 해로한다. ,,,
丙寅,10,,男命은 정력(精力)이 강한 편이나 서두르는 마음에 잘 안 되는 때가 있다. 상대를 즐겁게 하기 위해서 성급하게 서두르지 않고 노력하면 환영을 받는다.,女命은 의외로 온순하여 파트너가 시키는 대로 수동적이고 담백하기도 하다. 그러나 기(氣)가 세면 남편의 허락을 받고 외정(外情)을 즐기기도 한다. ,,,
