간지,일주(운성),납음오행,납음오행 해설,사대공망,순중공망,납음12운,납음12운 특성
甲戌,甲戌(養),산두화 山頭火(墓),산봉우리에 있는 불로써 세상을 멀리보고 예지력과 관찰력이 있습니다.,-,申酉,자묘(自墓),납음십이운(納音十二運)의 묘(墓)에 해당하는데. 이날 출생한 사람은</br>오행자체(五行自体)가 근(根)에 돌아가는 형상(形象)이므로 축적심(蓄積心)이 많고. 검소(儉素)하며. 쓸 대 없는 일을 좋아하지 않는다. 원만주의자(圓滿主義者)이다.
乙亥,乙亥(死),산두화 山頭火(墓),산봉우리에 있는 불로써 세상을 멀리보고 예지력과 관찰력이 있습니다.,-,申酉,자절(自絶),납음십이운(納音十二運)의 절(絶)에 해당하는데. 이날 출생한 사람은</br>침착성(沈着性)이 결여(缺如)되어 타인(他人)의 말을 잘 듣지 않으며. 이야기도중 자기(自己)말을 하는 경향(傾向)이 있다.</br>절(絶)은 이미 모든 것이 다해서 끊어진 형상(形象)인데. 절(絶)하면 재생(再生)하는 이치로 명(命)과 격(格)이 좋으면 성격(性格)과 명운(命運)도 좋아지게 된다.
丙子,丙子(胎),간하수 澗下水(旺),돌틐 사이를 비집고 흐르는 작지만 여유로운 물줄기로 부더러움과 얌체스런 모습도 보입니다.,-,申酉,자왕(自旺),납음십이운(納音十二運)의 제왕(帝旺)에 해당하는데. 이날 출생한 사람은</br>자존심(自尊心)이 강(强)하고. 자기(自己)의 의사(意思)를 관철(貫徹)하려는 고집(固執)이 있다.</br>실천력(實踐力)이 강(强)하고. 자왕(自旺)하는 고로 실력(實力)은 자연(自然)히 후(厚)한 면이 있다.
丁丑,丁丑(墓),간하수 澗下水(旺),돌틐 사이를 비집고 흐르는 작지만 여유로운 물줄기로 부더러움과 얌체스런 모습도 보입니다.,-,申酉,자쇠(自衰),납음십이운(納音十二運)의 쇠(衰)에 해당하는데. 이날 출생한 사람은</br>성질(性質)은 온화(穩和)하며 분수(分數)를 지킬 줄 안다. 자중심(自重心)과 진취성(進取性)이 있으나 과욕(過慾)함이 없다.</br>그러나 시의심(猜疑心)이 있어서 스스로를 힘들게 한다.
戊寅,戊寅(長),성두토 城頭土(生),높은 성곽을 이루는 흙으로 주변을 보호하고 가족들을 위해 노력하는 타입입니다.,-,申酉,자병(自病),납음십이운(納音十二運)의 병(病)에 해당하는데. 이날 출생한 사람은</br>내심(內心)은 화평(和平)하고 정숙(靜肅)하며. 모든 일을 괴롭게 생각하지 않는 면(面)이 있는데. 자신의 본분(本分)을 다하고. 의리(義理). 인정(人情). 동정심(同情心)이 있다.</br>고상(高尙)하고 멋이 있는 사람이지만 때로는 남을 질시(嫉視)하는 결점(缺點)이 있어 문제가 발생하기도 한다.
己卯,己卯(病),성두토 城頭土(生),높은 성곽을 이루는 흙으로 주변을 보호하고 가족들을 위해 노력하는 타입입니다.,-,申酉,자사(自死),납음십이운(納音十二運)의 사(死)에 해당하는데. 이날 출생한 사람은</br>고명(高明). 지혜(智慧). 유정(有情)하고 유순(柔順)하다. 그러나 신경과민(神經過敏)으로 힘들 수 있다.</br>학술(學術)과 기예(技藝)에 장점이 있으므로 학술기예(學術技藝)를 활용할 수 있는 업(業)을 삼으면 좋다.
庚辰,庚辰(養),백랍금 白蠟金(養),부더럽게 휘어지는 쇠붙이로 단단하면서도 부더러워 수완이 있슴을 나타냅니다.,-,申酉,자양(自養),납음십이운(納音十二運)의 양(養)에 해당하는데. 이날 출생한 사람은</br>모든 일에 원만(圓滿)하고. 웃어른을 공경하며 아랫사람을 가엽게 여기고. 자부심(自負心)이 없다.</br>만사(萬事)에 타인(他人)을 이롭게 한 후에 자기(自己)가 이(利)를 취하는 성격(性格)이다.
辛巳,辛巳(死),백랍금 白蠟金(養),부더럽게 휘어지는 쇠붙이로 단단하면서도 부더러워 수완이 있슴을 나타냅니다.,-,申酉,자생(自生),납음십이운(納音十二運)의 자생(自生)에 해당하는데. 이날에 출생한 사람은</br>모든 일에 민속(敏速)하고. 명랑(明朗)하며. 진취적(進取的)인 기풍(氣風)이 있다. 격국(格局)이 좋으면 평안(平安)하고 유복(裕福)하다.
壬午,壬午(胎),양류목 楊柳木(死),바람에 흔들리는 나무로 부더러우나 마음이 약해 쉽게 유혹에 빠지는 타입입니다.,-,申酉,자사(自死),납음십이운(納音十二運)의 사(死)에 해당하는데. 이날 출생한 사람은</br>고명(高明). 지혜(智慧). 유정(有情)하고 유순(柔順)하다. 그러나 신경과민(神經過敏)으로 힘들 수 있다.</br>학술(學術)과 기예(技藝)에 장점이 있으므로 학술기예(學術技藝)를 활용할 수 있는 업(業)을 삼으면 좋다.
癸未,癸未(墓),양류목 楊柳木(死),바람에 흔들리는 나무로 부더러우나 마음이 약해 쉽게 유혹에 빠지는 타입입니다.,-,申酉,자묘(自墓),납음십이운(納音十二運)의 묘(墓)에 해당하는데. 이날 출생한 사람은</br>오행자체(五行自体)가 근(根)에 돌아가는 형상(形象)이므로 축적심(蓄積心)이 많고. 검소(儉素)하며. 쓸 대 없는 일을 좋아하지 않는다. 원만주의자(圓滿主義者)이다.
甲申,甲申(絶),천중수 泉中水(生),연못 가운데 솥아나는 물줄기로 산속의 약수처럼 신선하고 지혜로움을 나타냅니다.,금,午未,자생(自生),납음십이운(納音十二運)의 자생(自生)에 해당하는데. 이날에 출생한 사람은</br>모든 일에 민속(敏速)하고. 명랑(明朗)하며. 진취적(進取的)인 기풍(氣風)이 있다. 격국(格局)이 좋으면 평안(平安)하고 유복(裕福)하다.
乙酉,乙酉(絶),천중수 泉中水(生),연못 가운데 솥아나는 물줄기로 산속의 약수처럼 신선하고 지혜로움을 나타냅니다.,금,午未,자패(自敗),납음십이운(納音十二運)의 목욕(沐浴)에 해당하는데. 이날에 출생한 사람은</br>경동(輕動)하여 실패(失敗)가 많으며 모든 일에 처음은 열의(熱意)가 있으나. 나중에는 태만(怠慢)하기 쉽고. 색욕(色慾)이 다소 왕성(旺盛)한 편이다.
丙戌,丙戌(墓),옥상토 屋上土(墓),지붕 위에 있는 흙으로 하늘을 막으니 세파를 헤쳐 나가야 함을 의미합니다.,금,午未,자관(自冠),납음십이운(納音十二運)의 관대(冠帶)에 해당하는데. 이날 출생한 사람은</br>선견지명(先見之明)이 있고. 활약(活躍)과 노력(勞力)을 아끼지 않는다.</br>표면(表面)은 원만(圓滿)하나 내면(內面)은 다소 강(强)하고. 인망(人望)도 있으며 사교(社交)에도 능(能)하여 여러 사람과 잘 조화(調和)가 된다.
丁亥,丁亥(胎),옥상토 屋上土(墓),지붕 위에 있는 흙으로 하늘을 막으니 세파를 헤쳐 나가야 함을 의미합니다.,금,午未,자임(自臨),납음십이운(納音十二運)의 건록(建祿)에 해당하는데. 이날 출생한 사람은</br>명랑(明朗)하고. 온후(溫厚)하다. 성품(性品)은 바르고 인정(人情)이 깊으며. 말은 원만(圓滿)하고. 활동가(活動家)이나. 내면(內面)은 다소 강(强)한 점이 있다.
戊子,戊子(胎),벽력화 霹靂火(胎),번개불과 같이 급하고 순간적이며 강력한 기운으로 일을 저지러거나 문제를 일으키는 성향을 나타냅니다.,금,午未,자태(自胎),납음십이운(納音十二運)의 태(胎)에 해당하는데. 이날 출생한 사람은</br>타인(他人)에게 거역(拒逆)하지 않고. 그러려니 하는 성격(性格)이며. 상하(上下)를 대함에 있어 자비심(慈悲心)이 있다. </br>의협(義俠)과 관대(冠帶)의 기질(氣質)은 있으나. 시작과 끝이 일치하지 못한다. 타인(他人)에게 동정심(同情心)이 많으면. 자식(子息)에 대한 애정도 깊다.
己丑,己丑(墓),벽력화 霹靂火(胎),번개불과 같이 급하고 순간적이며 강력한 기운으로 일을 저지러거나 문제를 일으키는 성향을 나타냅니다.,금,午未,자양(自養),납음십이운(納音十二運)의 양(養)에 해당하는데. 이날 출생한 사람은</br>모든 일에 원만(圓滿)하고. 웃어른을 공경하며 아랫사람을 가엽게 여기고. 자부심(自負心)이 없다.</br>만사(萬事)에 타인(他人)을 이롭게 한 후에 자기(自己)가 이(利)를 취하는 성격(性格)이다.
庚寅,庚寅(絶),송백목 松柏木(祿),홀로 우뚝선 소나무로 집념과 고집이 강하고 주변과 어울리기 힘든 타입이 됩니다.,금,午未,자임(自臨),납음십이운(納音十二運)의 건록(建祿)에 해당하는데. 이날 출생한 사람은</br>명랑(明朗)하고. 온후(溫厚)하다. 성품(性品)은 바르고 인정(人情)이 깊으며. 말은 원만(圓滿)하고. 활동가(活動家)이나. 내면(內面)은 다소 강(强)한 점이 있다.
辛卯,辛卯(絶),송백목 松柏木(祿),홀로 우뚝선 소나무로 집념과 고집이 강하고 주변과 어울리기 힘든 타입이 됩니다.,금,午未,자왕(自旺),납음십이운(納音十二運)의 제왕(帝旺)에 해당하는데. 이날 출생한 사람은</br>자존심(自尊心)이 강(强)하고. 자기(自己)의 의사(意思)를 관철(貫徹)하려는 고집(固執)이 있다.</br>실천력(實踐力)이 강(强)하고. 자왕(自旺)하는 고로 실력(實力)은 자연(自然)히 후(厚)한 면이 있다.
壬辰,壬辰(墓),장류수 長流水(墓),대지를 가로 지르는 큰 강물로 주변을 아우러고 쉼터나 일터가 되기도 합니다.,금,午未,자묘(自墓),납음십이운(納音十二運)의 묘(墓)에 해당하는데. 이날 출생한 사람은</br>오행자체(五行自体)가 근(根)에 돌아가는 형상(形象)이므로 축적심(蓄積心)이 많고. 검소(儉素)하며. 쓸 대 없는 일을 좋아하지 않는다. 원만주의자(圓滿主義者)이다.
癸巳,癸巳(胎),장류수 長流水(墓),대지를 가로 지르는 큰 강물로 주변을 아우러고 쉼터나 일터가 되기도 합니다.,금,午未,자절(自絶),납음십이운(納音十二運)의 절(絶)에 해당하는데. 이날 출생한 사람은</br>침착성(沈着性)이 결여(缺如)되어 타인(他人)의 말을 잘 듣지 않으며. 이야기도중 자기(自己)말을 하는 경향(傾向)이 있다.</br>절(絶)은 이미 모든 것이 다해서 끊어진 형상(形象)인데. 절(絶)하면 재생(再生)하는 이치로 명(命)과 격(格)이 좋으면 성격(性格)과 명운(命運)도 좋아지게 된다.
甲午,甲午(死),사중금 沙中金(浴),모래 속에 섞여 있는 금조각으로 화려하고 사치를 좋아하는 타입입니다.,수,辰巳,자패(自敗),납음십이운(納音十二運)의 목욕(沐浴)에 해당하는데. 이날에 출생한 사람은</br>경동(輕動)하여 실패(失敗)가 많으며 모든 일에 처음은 열의(熱意)가 있으나. 나중에는 태만(怠慢)하기 쉽고. 색욕(色慾)이 다소 왕성(旺盛)한 편이다.
乙未,乙未(養),사중금 沙中金(浴),모래 속에 섞여 있는 금조각으로 화려하고 사치를 좋아하는 타입입니다.,수,辰巳,자관(自冠),납음십이운(納音十二運)의 관대(冠帶)에 해당하는데. 이날 출생한 사람은</br>선견지명(先見之明)이 있고. 활약(活躍)과 노력(勞力)을 아끼지 않는다.</br>표면(表面)은 원만(圓滿)하나 내면(內面)은 다소 강(强)하고. 인망(人望)도 있으며 사교(社交)에도 능(能)하여 여러 사람과 잘 조화(調和)가 된다.
丙申,丙申(病),산하화 山下火(病),산 아래에서 타오르는 불길로 산 전체를 태울 수 있으니 진정할 필요가 있는 시점입니다.,수,辰巳,자병(自病),납음십이운(納音十二運)의 병(病)에 해당하는데. 이날 출생한 사람은</br>내심(內心)은 화평(和平)하고 정숙(靜肅)하며. 모든 일을 괴롭게 생각하지 않는 면(面)이 있는데. 자신의 본분(本分)을 다하고. 의리(義理). 인정(人情). 동정심(同情心)이 있다.</br>고상(高尙)하고 멋이 있는 사람이지만 때로는 남을 질시(嫉視)하는 결점(缺點)이 있어 문제가 발생하기도 한다.
丁酉,丁酉(長),산하화 山下火(病),산 아래에서 타오르는 불길로 산 전체를 태울 수 있으니 진정할 필요가 있는 시점입니다.,수,辰巳,자사(自死),납음십이운(納音十二運)의 사(死)에 해당하는데. 이날 출생한 사람은</br>고명(高明). 지혜(智慧). 유정(有情)하고 유순(柔順)하다. 그러나 신경과민(神經過敏)으로 힘들 수 있다.</br>학술(學術)과 기예(技藝)에 장점이 있으므로 학술기예(學術技藝)를 활용할 수 있는 업(業)을 삼으면 좋다.
戊戌,戊戌(墓),평지목 平地木(養),들판에 있는 나무로 주변에 사람이 모이지 않아 외롭고 고독함을 나타냅니다.,수,辰巳,자양(自養),납음십이운(納音十二運)의 양(養)에 해당하는데. 이날 출생한 사람은</br>모든 일에 원만(圓滿)하고. 웃어른을 공경하며 아랫사람을 가엽게 여기고. 자부심(自負心)이 없다.</br>만사(萬事)에 타인(他人)을 이롭게 한 후에 자기(自己)가 이(利)를 취하는 성격(性格)이다.
己亥,己亥(胎),평지목 平地木(養),들판에 있는 나무로 주변에 사람이 모이지 않아 외롭고 고독함을 나타냅니다.,수,辰巳,자생(自生),납음십이운(納音十二運)의 자생(自生)에 해당하는데. 이날에 출생한 사람은</br>모든 일에 민속(敏速)하고. 명랑(明朗)하며. 진취적(進取的)인 기풍(氣風)이 있다. 격국(格局)이 좋으면 평안(平安)하고 유복(裕福)하다.
庚子,庚子(死),벽상토 壁上土(胎),사방이 벽으로 둘러 처진 땅으로 다른 사람과 소통이 되지 않고 융통성이 없는 것을 나타냅니다.,수,辰巳,자왕(自旺),납음십이운(納音十二運)의 제왕(帝旺)에 해당하는데. 이날 출생한 사람은</br>자존심(自尊心)이 강(强)하고. 자기(自己)의 의사(意思)를 관철(貫徹)하려는 고집(固執)이 있다.</br>실천력(實踐力)이 강(强)하고. 자왕(自旺)하는 고로 실력(實力)은 자연(自然)히 후(厚)한 면이 있다.
辛丑,辛丑(養),벽상토 壁上土(胎),사방이 벽으로 둘러 처진 땅으로 다른 사람과 소통이 되지 않고 융통성이 없는 것을 나타냅니다.,수,辰巳,자쇠(自衰),납음십이운(納音十二運)의 쇠(衰)에 해당하는데. 이날 출생한 사람은</br>성질(性質)은 온화(穩和)하며 분수(分數)를 지킬 줄 안다. 자중심(自重心)과 진취성(進取性)이 있으나 과욕(過慾)함이 없다.</br>그러나 시의심(猜疑心)이 있어서 스스로를 힘들게 한다.
壬寅,壬寅(病),금박금 金箔金(絶),덧칠한 도금으로 내면은 보잘 것 없으면서 사치가 심하고 자기중심적임을 나타냅니다.,수,辰巳,자절(自絶),납음십이운(納音十二運)의 절(絶)에 해당하는데. 이날 출생한 사람은</br>침착성(沈着性)이 결여(缺如)되어 타인(他人)의 말을 잘 듣지 않으며. 이야기도중 자기(自己)말을 하는 경향(傾向)이 있다.</br>절(絶)은 이미 모든 것이 다해서 끊어진 형상(形象)인데. 절(絶)하면 재생(再生)하는 이치로 명(命)과 격(格)이 좋으면 성격(性格)과 명운(命運)도 좋아지게 된다.
癸卯,癸卯(長),금박금 金箔金(絶),덧칠한 도금으로 내면은 보잘 것 없으면서 사치가 심하고 자기중심적임을 나타냅니다.,수,辰巳,자태(自胎),납음십이운(納音十二運)의 태(胎)에 해당하는데. 이날 출생한 사람은</br>타인(他人)에게 거역(拒逆)하지 않고. 그러려니 하는 성격(性格)이며. 상하(上下)를 대함에 있어 자비심(慈悲心)이 있다. </br>의협(義俠)과 관대(冠帶)의 기질(氣質)은 있으나. 시작과 끝이 일치하지 못한다. 타인(他人)에게 동정심(同情心)이 많으면. 자식(子息)에 대한 애정도 깊다.
甲辰,甲辰(衰),복등화 覆燈火(帶),집안을 밝히는 작은 불로서 미약하나마 희망이 생기고 있음을 나타냅니다.,-,寅卯,자관(自冠),납음십이운(納音十二運)의 관대(冠帶)에 해당하는데. 이날 출생한 사람은</br>선견지명(先見之明)이 있고. 활약(活躍)과 노력(勞力)을 아끼지 않는다.</br>표면(表面)은 원만(圓滿)하나 내면(內面)은 다소 강(强)하고. 인망(人望)도 있으며 사교(社交)에도 능(能)하여 여러 사람과 잘 조화(調和)가 된다.
乙巳,乙巳(沐),복등화 覆燈火(帶),집안을 밝히는 작은 불로서 미약하나마 희망이 생기고 있음을 나타냅니다.,-,寅卯,자임(自臨),납음십이운(納音十二運)의 건록(建祿)에 해당하는데. 이날 출생한 사람은</br>명랑(明朗)하고. 온후(溫厚)하다. 성품(性品)은 바르고 인정(人情)이 깊으며. 말은 원만(圓滿)하고. 활동가(活動家)이나. 내면(內面)은 다소 강(强)한 점이 있다.
丙午,丙午(帝),천하수 天河水(胎),밤하늘 은하수와 같은 물기운으로 세상의 모든 일을 관여하고 집안은 소홀히 하는 성정입니다.,-,寅卯,자태(自胎),납음십이운(納音十二運)의 태(胎)에 해당하는데. 이날 출생한 사람은</br>타인(他人)에게 거역(拒逆)하지 않고. 그러려니 하는 성격(性格)이며. 상하(上下)를 대함에 있어 자비심(慈悲心)이 있다. </br>의협(義俠)과 관대(冠帶)의 기질(氣質)은 있으나. 시작과 끝이 일치하지 못한다. 타인(他人)에게 동정심(同情心)이 많으면. 자식(子息)에 대한 애정도 깊다.
丁未,丁未(冠),천하수 天河水(胎),밤하늘 은하수와 같은 물기운으로 세상의 모든 일을 관여하고 집안은 소홀히 하는 성정입니다.,-,寅卯,자양(自養),납음십이운(納音十二運)의 양(養)에 해당하는데. 이날 출생한 사람은</br>모든 일에 원만(圓滿)하고. 웃어른을 공경하며 아랫사람을 가엽게 여기고. 자부심(自負心)이 없다.</br>만사(萬事)에 타인(他人)을 이롭게 한 후에 자기(自己)가 이(利)를 취하는 성격(性格)이다.
戊申,戊申(病),대역토 大驛土(病),큰 정거장이 있는 땅으로 항상 열려 있고 다른 사람의 쉼터가 되는 정감이 있는 상태입니다.,-,寅卯,자생(自生),납음십이운(納音十二運)의 자생(自生)에 해당하는데. 이날에 출생한 사람은</br>모든 일에 민속(敏速)하고. 명랑(明朗)하며. 진취적(進取的)인 기풍(氣風)이 있다. 격국(格局)이 좋으면 평안(平安)하고 유복(裕福)하다.
己酉,己酉(長),대역토 大驛土(病),큰 정거장이 있는 땅으로 항상 열려 있고 다른 사람의 쉼터가 되는 정감이 있는 상태입니다.,-,寅卯,자패(自敗),납음십이운(納音十二運)의 목욕(沐浴)에 해당하는데. 이날에 출생한 사람은</br>경동(輕動)하여 실패(失敗)가 많으며 모든 일에 처음은 열의(熱意)가 있으나. 나중에는 태만(怠慢)하기 쉽고. 색욕(色慾)이 다소 왕성(旺盛)한 편이다.
庚戌,庚戌(衰),차천금 釵釧金(衰),장신구를 이루고 있는 쇠붙이로 남의 눈요기는 될 것이나 자신의 본분을 망각할 수도 있습니다.,-,寅卯,자쇠(自衰),납음십이운(納音十二運)의 쇠(衰)에 해당하는데. 이날 출생한 사람은</br>성질(性質)은 온화(穩和)하며 분수(分數)를 지킬 줄 안다. 자중심(自重心)과 진취성(進取性)이 있으나 과욕(過慾)함이 없다.</br>그러나 시의심(猜疑心)이 있어서 스스로를 힘들게 한다.
辛亥,辛亥(沐),차천금 釵釧金(衰),장신구를 이루고 있는 쇠붙이로 남의 눈요기는 될 것이나 자신의 본분을 망각할 수도 있습니다.,-,寅卯,자병(自病),납음십이운(納音十二運)의 병(病)에 해당하는데. 이날 출생한 사람은</br>내심(內心)은 화평(和平)하고 정숙(靜肅)하며. 모든 일을 괴롭게 생각하지 않는 면(面)이 있는데. 자신의 본분(本分)을 다하고. 의리(義理). 인정(人情). 동정심(同情心)이 있다.</br>고상(高尙)하고 멋이 있는 사람이지만 때로는 남을 질시(嫉視)하는 결점(缺點)이 있어 문제가 발생하기도 한다.
壬子,壬子(帝),상자목 桑自木(浴),뽕나무와 같은 성정으로 고집이 강하고 인내와 끈기를 나타내기도 합니다.,-,寅卯,자패(自敗),납음십이운(納音十二運)의 목욕(沐浴)에 해당하는데. 이날에 출생한 사람은</br>경동(輕動)하여 실패(失敗)가 많으며 모든 일에 처음은 열의(熱意)가 있으나. 나중에는 태만(怠慢)하기 쉽고. 색욕(色慾)이 다소 왕성(旺盛)한 편이다.
癸丑,癸丑(冠),상자목 桑自木(浴),뽕나무와 같은 성정으로 고집이 강하고 인내와 끈기를 나타내기도 합니다.,-,寅卯,자관(自冠),납음십이운(納音十二運)의 관대(冠帶)에 해당하는데. 이날 출생한 사람은</br>선견지명(先見之明)이 있고. 활약(活躍)과 노력(勞力)을 아끼지 않는다.</br>표면(表面)은 원만(圓滿)하나 내면(內面)은 다소 강(强)하고. 인망(人望)도 있으며 사교(社交)에도 능(能)하여 여러 사람과 잘 조화(調和)가 된다.
甲寅,甲寅(建),대계수 大溪水(病),큰 계곡의 물줄기로 감정의 기복이 크고 활달함을 의미합니다.,금,子丑,자병(自病),납음십이운(納音十二運)의 병(病)에 해당하는데. 이날 출생한 사람은</br>내심(內心)은 화평(和平)하고 정숙(靜肅)하며. 모든 일을 괴롭게 생각하지 않는 면(面)이 있는데. 자신의 본분(本分)을 다하고. 의리(義理). 인정(人情). 동정심(同情心)이 있다.</br>고상(高尙)하고 멋이 있는 사람이지만 때로는 남을 질시(嫉視)하는 결점(缺點)이 있어 문제가 발생하기도 한다.
乙卯,乙卯(建),대계수 大溪水(病),큰 계곡의 물줄기로 감정의 기복이 크고 활달함을 의미합니다.,금,子丑,자사(自死),납음십이운(納音十二運)의 사(死)에 해당하는데. 이날 출생한 사람은</br>고명(高明). 지혜(智慧). 유정(有情)하고 유순(柔順)하다. 그러나 신경과민(神經過敏)으로 힘들 수 있다.</br>학술(學術)과 기예(技藝)에 장점이 있으므로 학술기예(學術技藝)를 활용할 수 있는 업(業)을 삼으면 좋다.
丙辰,丙辰(冠),사중토 沙中土(帶),모래 따으로 기초가 부실하여 인내심과 추진력이 부족함을 나타냅니다.,금,子丑,자묘(自墓),납음십이운(納音十二運)의 묘(墓)에 해당하는데. 이날 출생한 사람은</br>오행자체(五行自体)가 근(根)에 돌아가는 형상(形象)이므로 축적심(蓄積心)이 많고. 검소(儉素)하며. 쓸 대 없는 일을 좋아하지 않는다. 원만주의자(圓滿主義者)이다.
丁巳,丁巳(帝),사중토 沙中土(帶),모래 따으로 기초가 부실하여 인내심과 추진력이 부족함을 나타냅니다.,금,子丑,자절(自絶),납음십이운(納音十二運)의 절(絶)에 해당하는데. 이날 출생한 사람은</br>침착성(沈着性)이 결여(缺如)되어 타인(他人)의 말을 잘 듣지 않으며. 이야기도중 자기(自己)말을 하는 경향(傾向)이 있다.</br>절(絶)은 이미 모든 것이 다해서 끊어진 형상(形象)인데. 절(絶)하면 재생(再生)하는 이치로 명(命)과 격(格)이 좋으면 성격(性格)과 명운(命運)도 좋아지게 된다.
